consumer	dependency
Qwengram/HistoryUI/BUILD	//Qwengram/Strings:QwengramStrings
Qwengram/SettingsUI/BUILD	//Qwengram/Strings:QwengramStrings
Qwengram/Enhancements/SettingsSignal/BUILD	//Qwengram/Enhancements/Settings:NagramSettings
Qwengram/Enhancements/SettingsUI/BUILD	//Qwengram/Enhancements/LinkMetadata:NagramLinkMetadata
Qwengram/Enhancements/SettingsUI/BUILD	//Qwengram/Enhancements/Settings:NagramSettings
Qwengram/Enhancements/SettingsUI/BUILD	//Qwengram/Enhancements/SettingsSignal:NagramSettingsSignal
Qwengram/Enhancements/SettingsUI/BUILD	//Qwengram/Enhancements/Translate:NagramTranslate
Qwengram/Enhancements/SettingsUI/BUILD	//Qwengram/Strings:QwengramStrings
Qwengram/Enhancements/TelegramSettingsCloudSync/BUILD	//Qwengram/Enhancements/Settings:NagramSettings
Qwengram/Enhancements/Translate/BUILD	//Qwengram/Enhancements/Settings:NagramSettings
submodules/ChatListUI/BUILD	//Qwengram/Enhancements/Settings:NagramSettings
submodules/ChatListUI/BUILD	//Qwengram/Enhancements/SettingsSignal:NagramSettingsSignal
submodules/ChatListUI/BUILD	//Qwengram/Strings:QwengramStrings
submodules/ChatPresentationInterfaceState/BUILD	//Qwengram/Enhancements/Settings:NagramSettings
submodules/ContactListUI/BUILD	//Qwengram/Enhancements/SettingsSignal:NagramSettingsSignal
submodules/GalleryUI/BUILD	//Qwengram/Enhancements/MediaMetadata:NagramMediaMetadata
submodules/GalleryUI/BUILD	//Qwengram/Enhancements/Settings:NagramSettings
submodules/LegacyMediaPickerUI/BUILD	//Qwengram/Enhancements/Settings:NagramSettings
submodules/MediaPickerUI/BUILD	//Qwengram/Enhancements/Settings:NagramSettings
submodules/ShareController/BUILD	//Qwengram/Enhancements/Settings:NagramSettings
submodules/ShareController/BUILD	//Qwengram/Strings:QwengramStrings
submodules/TabBarUI/BUILD	//Qwengram/Enhancements/Settings:NagramSettings
submodules/TelegramCore/BUILD	//Qwengram/Enhancements/Settings:NagramSettings
submodules/TelegramUI/BUILD	//Qwengram/Enhancements/Demo:NagramDemo
submodules/TelegramUI/BUILD	//Qwengram/Enhancements/LinkMetadata:NagramLinkMetadata
submodules/TelegramUI/BUILD	//Qwengram/Enhancements/Settings:NagramSettings
submodules/TelegramUI/BUILD	//Qwengram/Enhancements/SettingsSignal:NagramSettingsSignal
submodules/TelegramUI/BUILD	//Qwengram/Enhancements/SettingsUI:NagramSettingsUI
submodules/TelegramUI/BUILD	//Qwengram/Enhancements/TelegramSettingsCloudSync:NagramTelegramSettingsCloudSync
submodules/TelegramUI/BUILD	//Qwengram/Enhancements/Translate:NagramTranslate
submodules/TelegramUI/BUILD	//Qwengram/Strings:QwengramStrings
submodules/TextFormat/BUILD	//Qwengram/Enhancements/Settings:NagramSettings
submodules/TranslateUI/BUILD	//Qwengram/Enhancements/SettingsSignal:NagramSettingsSignal
submodules/TranslateUI/BUILD	//Qwengram/Enhancements/Translate:NagramTranslate
submodules/TelegramUI/Components/EntityKeyboard/BUILD	//Qwengram/Enhancements/SettingsSignal:NagramSettingsSignal
submodules/TelegramUI/Components/GlassBackgroundComponent/BUILD	//Qwengram/Enhancements/Settings:NagramSettings
submodules/TelegramUI/Components/TextProcessingScreen/BUILD	//Qwengram/Enhancements/Translate:NagramTranslate
submodules/TelegramUI/Components/PeerInfo/PeerInfoScreen/BUILD	//Qwengram/Enhancements/Settings:NagramSettings
submodules/TelegramUI/Components/PeerInfo/PeerInfoScreen/BUILD	//Qwengram/Enhancements/SettingsSignal:NagramSettingsSignal
submodules/TelegramUI/Components/PeerInfo/PeerInfoScreen/BUILD	//Qwengram/Enhancements/SettingsUI:NagramSettingsUI
submodules/TelegramUI/Components/PeerInfo/PeerInfoScreen/BUILD	//Qwengram/Strings:QwengramStrings
submodules/TelegramUI/Components/Chat/ChatMessageAnimatedStickerItemNode/BUILD	//Qwengram/Enhancements/Settings:NagramSettings
submodules/TelegramUI/Components/Chat/ChatMessageBubbleItemNode/BUILD	//Qwengram/Enhancements/Settings:NagramSettings
submodules/TelegramUI/Components/Chat/ChatMessageDateAndStatusNode/BUILD	//Qwengram/Enhancements/Settings:NagramSettings
submodules/TelegramUI/Components/Chat/ChatMessageForwardInfoNode/BUILD	//Qwengram/Enhancements/Settings:NagramSettings
submodules/TelegramUI/Components/Chat/ChatMessageInstantVideoItemNode/BUILD	//Qwengram/Enhancements/Settings:NagramSettings
submodules/TelegramUI/Components/Chat/ChatMessageItemImpl/BUILD	//Qwengram/Enhancements/Settings:NagramSettings
submodules/TelegramUI/Components/Chat/ChatMessageStickerItemNode/BUILD	//Qwengram/Enhancements/Settings:NagramSettings
submodules/TelegramUI/Components/Chat/ChatMessageTextBubbleContentNode/BUILD	//Qwengram/Enhancements/Settings:NagramSettings
submodules/TelegramUI/Components/Chat/ChatTextInputPanelNode/BUILD	//Qwengram/Enhancements/Settings:NagramSettings
Telegram/BUILD	//Qwengram/Strings:QwengramLocalizableStrings
