path	line	matches	classification	reason
.bazelrc	43	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
.gitignore	92	1	temporary dependency	Live inherited module/type/localization identifier or integration
AGENTS.md	9	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
AGENTS.md	36	2	attribution/history	Provenance, historical documentation, preserved patch or required marker
AGENTS.md	37	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
AGENTS.md	38	2	attribution/history	Provenance, historical documentation, preserved patch or required marker
AGENTS.md	39	2	attribution/history	Provenance, historical documentation, preserved patch or required marker
AGENTS.md	159	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
AGENTS.md	162	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
AGENTS.md	163	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
AGENTS.md	164	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
AGENTS.md	198	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
AGENTS.md	209	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
AGENTS.md	210	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
AGENTS.md	244	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
BRANDING.md	1	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
BRANDING.md	5	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
BRANDING.md	7	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
BRANDING.md	8	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
BRANDING.md	17	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
BRANDING.md	27	3	attribution/history	Provenance, historical documentation, preserved patch or required marker
BRANDING.md	28	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
BRANDING.md	33	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
BRANDING.md	34	2	attribution/history	Provenance, historical documentation, preserved patch or required marker
BRANDING.md	41	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
BRANDING.md	44	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
