consumer_build	dependency
SpaceGram/Enhancements/SettingsSignal/BUILD	//SpaceGram/Enhancements/Settings:NagramSettings
SpaceGram/Enhancements/SettingsUI/BUILD	//SpaceGram/Enhancements/LinkMetadata:NagramLinkMetadata
SpaceGram/Enhancements/SettingsUI/BUILD	//SpaceGram/Enhancements/Settings:NagramSettings
SpaceGram/Enhancements/SettingsUI/BUILD	//SpaceGram/Enhancements/SettingsSignal:NagramSettingsSignal
SpaceGram/Enhancements/SettingsUI/BUILD	//SpaceGram/Enhancements/Translate:NagramTranslate
SpaceGram/Enhancements/TelegramSettingsCloudSync/BUILD	//SpaceGram/Enhancements/Settings:NagramSettings
SpaceGram/Enhancements/Translate/BUILD	//SpaceGram/Enhancements/Settings:NagramSettings
Telegram/NotificationService/BUILD	//SpaceGram/Enhancements/Settings:NagramSettings
submodules/ChatListUI/BUILD	//SpaceGram/Enhancements/Settings:NagramSettings
submodules/ChatListUI/BUILD	//SpaceGram/Enhancements/SettingsSignal:NagramSettingsSignal
submodules/ChatPresentationInterfaceState/BUILD	//SpaceGram/Enhancements/Settings:NagramSettings
submodules/ContactListUI/BUILD	//SpaceGram/Enhancements/SettingsSignal:NagramSettingsSignal
submodules/GalleryUI/BUILD	//SpaceGram/Enhancements/MediaMetadata:NagramMediaMetadata
submodules/GalleryUI/BUILD	//SpaceGram/Enhancements/Settings:NagramSettings
submodules/LegacyMediaPickerUI/BUILD	//SpaceGram/Enhancements/Settings:NagramSettings
submodules/MediaPickerUI/BUILD	//SpaceGram/Enhancements/Settings:NagramSettings
submodules/ShareController/BUILD	//SpaceGram/Enhancements/Settings:NagramSettings
submodules/TabBarUI/BUILD	//SpaceGram/Enhancements/Settings:NagramSettings
submodules/TelegramCore/BUILD	//SpaceGram/Enhancements/Settings:NagramSettings
submodules/TelegramUI/BUILD	//SpaceGram/Enhancements/Demo:NagramDemo
submodules/TelegramUI/BUILD	//SpaceGram/Enhancements/LinkMetadata:NagramLinkMetadata
submodules/TelegramUI/BUILD	//SpaceGram/Enhancements/Settings:NagramSettings
submodules/TelegramUI/BUILD	//SpaceGram/Enhancements/SettingsSignal:NagramSettingsSignal
submodules/TelegramUI/BUILD	//SpaceGram/Enhancements/SettingsUI:NagramSettingsUI
submodules/TelegramUI/BUILD	//SpaceGram/Enhancements/TelegramSettingsCloudSync:NagramTelegramSettingsCloudSync
submodules/TelegramUI/BUILD	//SpaceGram/Enhancements/Translate:NagramTranslate
submodules/TelegramUI/Components/Chat/ChatMessageAnimatedStickerItemNode/BUILD	//SpaceGram/Enhancements/Settings:NagramSettings
submodules/TelegramUI/Components/Chat/ChatMessageBubbleItemNode/BUILD	//SpaceGram/Enhancements/Settings:NagramSettings
submodules/TelegramUI/Components/Chat/ChatMessageDateAndStatusNode/BUILD	//SpaceGram/Enhancements/Settings:NagramSettings
submodules/TelegramUI/Components/Chat/ChatMessageForwardInfoNode/BUILD	//SpaceGram/Enhancements/Settings:NagramSettings
submodules/TelegramUI/Components/Chat/ChatMessageInstantVideoItemNode/BUILD	//SpaceGram/Enhancements/Settings:NagramSettings
submodules/TelegramUI/Components/Chat/ChatMessageItemImpl/BUILD	//SpaceGram/Enhancements/Settings:NagramSettings
submodules/TelegramUI/Components/Chat/ChatMessageStickerItemNode/BUILD	//SpaceGram/Enhancements/Settings:NagramSettings
submodules/TelegramUI/Components/Chat/ChatMessageTextBubbleContentNode/BUILD	//SpaceGram/Enhancements/Settings:NagramSettings
submodules/TelegramUI/Components/Chat/ChatTextInputPanelNode/BUILD	//SpaceGram/Enhancements/Settings:NagramSettings
submodules/TelegramUI/Components/EntityKeyboard/BUILD	//SpaceGram/Enhancements/SettingsSignal:NagramSettingsSignal
submodules/TelegramUI/Components/GlassBackgroundComponent/BUILD	//SpaceGram/Enhancements/Settings:NagramSettings
submodules/TelegramUI/Components/PeerInfo/PeerInfoScreen/BUILD	//SpaceGram/Enhancements/Settings:NagramSettings
submodules/TelegramUI/Components/PeerInfo/PeerInfoScreen/BUILD	//SpaceGram/Enhancements/SettingsSignal:NagramSettingsSignal
submodules/TelegramUI/Components/PeerInfo/PeerInfoScreen/BUILD	//SpaceGram/Enhancements/SettingsUI:NagramSettingsUI
submodules/TelegramUI/Components/TextProcessingScreen/BUILD	//SpaceGram/Enhancements/Translate:NagramTranslate
submodules/TextFormat/BUILD	//SpaceGram/Enhancements/Settings:NagramSettings
submodules/TextFormat/BUILD	//SpaceGram/Enhancements/Settings:NagramSettings
submodules/TranslateUI/BUILD	//SpaceGram/Enhancements/SettingsSignal:NagramSettingsSignal
submodules/TranslateUI/BUILD	//SpaceGram/Enhancements/Translate:NagramTranslate
