consumer_source	module
SpaceGram/Enhancements/SettingsSignal/Sources/NagramSettingsSignal.swift	NagramSettings
SpaceGram/Enhancements/SettingsUI/NagramBottomBarSettingsController.swift	NagramSettings
SpaceGram/Enhancements/SettingsUI/NagramGroupProfileSettingsController.swift	NagramSettings
SpaceGram/Enhancements/SettingsUI/NagramInlineBotRulesController.swift	NagramLinkMetadata
SpaceGram/Enhancements/SettingsUI/NagramLLMTranslationSettingsController.swift	NagramSettings
SpaceGram/Enhancements/SettingsUI/NagramLLMTranslationSettingsController.swift	NagramTranslate
SpaceGram/Enhancements/SettingsUI/NagramMessageMenuSettingsController.swift	NagramSettings
SpaceGram/Enhancements/SettingsUI/NagramRegexFilterSettingsController.swift	NagramSettings
SpaceGram/Enhancements/SettingsUI/NagramSettingsController.swift	NagramSettings
SpaceGram/Enhancements/TelegramSettingsCloudSync/Sources/NagramTelegramSettingsCloudSync.swift	NagramSettings
SpaceGram/Enhancements/Translate/Sources/NagramExternalTranslateProviders.swift	NagramSettings
SpaceGram/Enhancements/Translate/Sources/NagramLLMTranslateProvider.swift	NagramSettings
SpaceGram/Enhancements/Translate/Sources/NagramTranslateService.swift	NagramSettings
Telegram/NotificationService/Sources/NotificationService.swift	NagramSettings
submodules/ChatListUI/Sources/ChatContextMenus.swift	NagramSettings
submodules/ChatListUI/Sources/ChatListController.swift	NagramSettings
submodules/ChatListUI/Sources/ChatListController.swift	NagramSettingsSignal
submodules/ChatListUI/Sources/ChatListControllerNode.swift	NagramSettings
submodules/ChatListUI/Sources/ChatListFilterPresetController.swift	NagramSettings
submodules/ChatListUI/Sources/ChatListFilterPresetListController.swift	NagramSettings
submodules/ChatListUI/Sources/Node/ChatListItem.swift	NagramSettings
submodules/ChatListUI/Sources/Node/ChatListNode.swift	NagramSettingsSignal
submodules/ChatListUI/Sources/Node/ChatListNodeEntries.swift	NagramSettings
submodules/ChatListUI/Sources/Node/ChatListNodeLocation.swift	NagramSettings
submodules/ChatPresentationInterfaceState/Sources/ChatPresentationInterfaceState.swift	NagramSettings
submodules/ContactListUI/Sources/ContactsController.swift	NagramSettingsSignal
submodules/GalleryUI/Sources/Items/ChatImageGalleryItem.swift	NagramMediaMetadata
submodules/GalleryUI/Sources/Items/ChatImageGalleryItem.swift	NagramSettings
submodules/GalleryUI/Sources/Items/UniversalVideoGalleryItem.swift	NagramMediaMetadata
submodules/GalleryUI/Sources/Items/UniversalVideoGalleryItem.swift	NagramSettings
submodules/LegacyMediaPickerUI/Sources/LegacyMediaPickers.swift	NagramSettings
submodules/MediaPickerUI/Sources/MediaPickerScreen.swift	NagramSettings
submodules/ShareController/Sources/ShareController.swift	NagramSettings
submodules/TabBarUI/Sources/TabBarContollerNode.swift	NagramSettings
submodules/TelegramCore/Sources/Account/Account.swift	NagramSettings
submodules/TelegramCore/Sources/Network/FetchV2.swift	NagramSettings
submodules/TelegramCore/Sources/Network/MultipartUpload.swift	NagramSettings
submodules/TelegramCore/Sources/Network/Network.swift	NagramSettings
submodules/TelegramCore/Sources/State/ManagedProxyInfoUpdates.swift	NagramSettings
submodules/TelegramCore/Sources/TelegramEngine/Messages/AdMessages.swift	NagramSettings
submodules/TelegramCore/Sources/TelegramEngine/Messages/CommunityChatListSummary.swift	NagramSettings
submodules/TelegramCore/Sources/TelegramEngine/Peers/AdPeers.swift	NagramSettings
submodules/TelegramCore/Sources/UpdatePeers.swift	NagramSettings
submodules/TelegramUI/Components/Chat/ChatMessageAnimatedStickerItemNode/Sources/ChatMessageAnimatedStickerItemNode.swift	NagramSettings
submodules/TelegramUI/Components/Chat/ChatMessageBubbleItemNode/Sources/ChatMessageBubbleItemNode.swift	NagramSettings
submodules/TelegramUI/Components/Chat/ChatMessageDateAndStatusNode/Sources/ChatMessageDateAndStatusNode.swift	NagramSettings
submodules/TelegramUI/Components/Chat/ChatMessageForwardInfoNode/Sources/ChatMessageForwardInfoNode.swift	NagramSettings
submodules/TelegramUI/Components/Chat/ChatMessageInstantVideoItemNode/Sources/ChatMessageInstantVideoItemNode.swift	NagramSettings
submodules/TelegramUI/Components/Chat/ChatMessageItemImpl/Sources/ChatMessageItemImpl.swift	NagramSettings
submodules/TelegramUI/Components/Chat/ChatMessageStickerItemNode/Sources/ChatMessageStickerItemNode.swift	NagramSettings
submodules/TelegramUI/Components/Chat/ChatMessageTextBubbleContentNode/Sources/ChatMessageTextBubbleContentNode.swift	NagramSettings
submodules/TelegramUI/Components/Chat/ChatTextInputPanelNode/Sources/ChatTextInputPanelNode.swift	NagramSettings
submodules/TelegramUI/Components/EntityKeyboard/Sources/EmojiPagerContentSignals.swift	NagramSettingsSignal
submodules/TelegramUI/Components/GlassBackgroundComponent/Sources/GlassBackgroundComponent.swift	NagramSettings
submodules/TelegramUI/Components/PeerInfo/PeerInfoScreen/Sources/PeerInfoHeaderNode.swift	NagramSettings
submodules/TelegramUI/Components/PeerInfo/PeerInfoScreen/Sources/PeerInfoProfileItems.swift	NagramSettings
submodules/TelegramUI/Components/PeerInfo/PeerInfoScreen/Sources/PeerInfoScreen.swift	NagramSettings
submodules/TelegramUI/Components/PeerInfo/PeerInfoScreen/Sources/PeerInfoScreen.swift	NagramSettingsSignal
submodules/TelegramUI/Components/PeerInfo/PeerInfoScreen/Sources/PeerInfoScreenSettingsActions.swift	NagramSettingsUI
submodules/TelegramUI/Components/PeerInfo/PeerInfoScreen/Sources/PeerInfoSettingsItems.swift	NagramSettings
submodules/TelegramUI/Components/TextProcessingScreen/Sources/TextProcessingTranslateContentComponent.swift	NagramTranslate
submodules/TelegramUI/Sources/AccountContext.swift	NagramSettings
submodules/TelegramUI/Sources/AppDelegate.swift	NagramDemo
submodules/TelegramUI/Sources/AppDelegate.swift	NagramSettings
submodules/TelegramUI/Sources/ApplicationContext.swift	NagramSettings
submodules/TelegramUI/Sources/ApplicationContext.swift	NagramSettingsSignal
submodules/TelegramUI/Sources/Chat/ChatControllerLoadDisplayNode.swift	NagramSettings
submodules/TelegramUI/Sources/Chat/ChatControllerLoadDisplayNode.swift	NagramSettingsSignal
submodules/TelegramUI/Sources/Chat/ChatMessageDisplaySendMessageOptions.swift	NagramSettings
submodules/TelegramUI/Sources/Chat/ChatMessageDisplaySendMessageOptions.swift	NagramTranslate
submodules/TelegramUI/Sources/ChatController.swift	NagramSettings
submodules/TelegramUI/Sources/ChatControllerContentData.swift	NagramSettings
submodules/TelegramUI/Sources/ChatControllerContentData.swift	NagramSettingsSignal
submodules/TelegramUI/Sources/ChatControllerForwardMessages.swift	NagramSettings
submodules/TelegramUI/Sources/ChatControllerNode.swift	NagramSettings
submodules/TelegramUI/Sources/ChatControllerOpenAttachmentMenu.swift	NagramSettings
submodules/TelegramUI/Sources/ChatControllerOpenMessageShareMenu.swift	NagramSettings
submodules/TelegramUI/Sources/ChatHistoryEntriesForView.swift	NagramSettings
submodules/TelegramUI/Sources/ChatHistoryListNode.swift	NagramSettings
submodules/TelegramUI/Sources/ChatHistoryListNode.swift	NagramSettingsSignal
submodules/TelegramUI/Sources/ChatInterfaceInputContexts.swift	NagramLinkMetadata
submodules/TelegramUI/Sources/ChatInterfaceInputContexts.swift	NagramSettings
submodules/TelegramUI/Sources/ChatInterfaceStateContextMenus.swift	NagramSettings
submodules/TelegramUI/Sources/ChatInterfaceStateContextQueries.swift	NagramLinkMetadata
submodules/TelegramUI/Sources/ChatInterfaceStateContextQueries.swift	NagramSettings
submodules/TelegramUI/Sources/NavigateToChatController.swift	NagramSettings
submodules/TelegramUI/Sources/OpenResolvedUrl.swift	NagramSettingsUI
submodules/TelegramUI/Sources/SharedAccountContext.swift	NagramSettings
submodules/TelegramUI/Sources/SharedAccountContext.swift	NagramTelegramSettingsCloudSync
submodules/TelegramUI/Sources/TelegramRootController.swift	NagramSettings
submodules/TelegramUI/Sources/TelegramRootController.swift	NagramSettingsSignal
submodules/TextFormat/Sources/DateFormat.swift	NagramSettings
submodules/TextFormat/Tests/ChatInputContentConversionTests.swift	NagramSettings
submodules/TranslateUI/Sources/ChatTranslation.swift	NagramSettingsSignal
submodules/TranslateUI/Sources/ChatTranslation.swift	NagramTranslate
