file	line	occurrences	classification
.bazelrc	43	1	comment / rebase marker / provenance
.gitignore	92	1	tooling / configuration / other
AGENTS.md	10	1	documentation / attribution / historical audit
AGENTS.md	37	2	documentation / attribution / historical audit
AGENTS.md	38	1	documentation / attribution / historical audit
AGENTS.md	39	2	documentation / attribution / historical audit
AGENTS.md	40	2	documentation / attribution / historical audit
AGENTS.md	160	1	documentation / attribution / historical audit
AGENTS.md	164	1	documentation / attribution / historical audit
AGENTS.md	165	1	documentation / attribution / historical audit
AGENTS.md	199	1	documentation / attribution / historical audit
AGENTS.md	210	1	documentation / attribution / historical audit
AGENTS.md	211	1	documentation / attribution / historical audit
AGENTS.md	245	1	documentation / attribution / historical audit
BRANDING.md	11	1	documentation / attribution / historical audit
BRANDING.md	19	1	documentation / attribution / historical audit
BRANDING.md	20	1	documentation / attribution / historical audit
BRANDING.md	23	1	documentation / attribution / historical audit
BRANDING.md	25	1	documentation / attribution / historical audit
BRANDING.md	26	1	documentation / attribution / historical audit
BRANDING.md	35	1	documentation / attribution / historical audit
BRANDING.md	45	3	documentation / attribution / historical audit
BRANDING.md	46	1	documentation / attribution / historical audit
BRANDING.md	51	1	documentation / attribution / historical audit
BRANDING.md	52	2	documentation / attribution / historical audit
BRANDING.md	59	1	documentation / attribution / historical audit
BRANDING.md	62	1	documentation / attribution / historical audit
BRANDING.md	66	1	documentation / attribution / historical audit
BRANDING.md	68	1	documentation / attribution / historical audit
BRANDING.md	72	1	documentation / attribution / historical audit
BRANDING.md	74	1	documentation / attribution / historical audit
BRANDING.md	77	1	documentation / attribution / historical audit
BRANDING.md	78	1	documentation / attribution / historical audit
BRANDING.md	79	1	documentation / attribution / historical audit
BRANDING.md	81	1	documentation / attribution / historical audit
BRANDING.md	87	1	documentation / attribution / historical audit
BRANDING.md	94	1	documentation / attribution / historical audit
BRANDING.md	96	1	documentation / attribution / historical audit
CLAUDE.md	7	1	documentation / attribution / historical audit
CLAUDE.md	10	1	documentation / attribution / historical audit
CLAUDE.md	68	1	documentation / attribution / historical audit
QWENGRAM_PROJECT_AUDIT.md	16	1	documentation / attribution / historical audit
QWENGRAM_PROJECT_AUDIT.md	17	1	documentation / attribution / historical audit
QWENGRAM_PROJECT_AUDIT.md	25	1	documentation / attribution / historical audit
QWENGRAM_PROJECT_AUDIT.md	46	1	documentation / attribution / historical audit
