file	line	occurrences	classification
.github/workflows/qwengram-ios-test.yml	15	1	D: existing branch / bundle ID / CI secret contract
.github/workflows/qwengram-ios-test.yml	19	1	D: existing branch / bundle ID / CI secret contract
.github/workflows/qwengram-ios-test.yml	22	1	D: existing branch / bundle ID / CI secret contract
.github/workflows/qwengram-ios-test.yml	47	2	D: existing branch / bundle ID / CI secret contract
.github/workflows/qwengram-ios-test.yml	48	2	D: existing branch / bundle ID / CI secret contract
.github/workflows/qwengram-ios-test.yml	51	2	D: existing branch / bundle ID / CI secret contract
.github/workflows/qwengram-ios-test.yml	52	2	D: existing branch / bundle ID / CI secret contract
.github/workflows/qwengram-ios-test.yml	60	1	D: existing branch / bundle ID / CI secret contract
.github/workflows/qwengram-ios-test.yml	61	1	D: existing branch / bundle ID / CI secret contract
.github/workflows/testflight.yml	40	1	D: existing branch / bundle ID / CI secret contract
BRANDING.md	7	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	1	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	5	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	8	1	C: preserved checkout/root path
QWENGRAM_PROJECT_AUDIT.md	15	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	18	2	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	20	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	28	2	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	29	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	39	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	52	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	53	2	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	54	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	59	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	68	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	81	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	82	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	85	2	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	89	2	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	107	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	108	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	130	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	134	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	135	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	144	2	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	175	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	182	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	184	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	194	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	200	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	203	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	218	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	223	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	225	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	240	2	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	246	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	262	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	291	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	307	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	318	1	B: historical documentation or compatibility explanation
QWENGRAM_PROJECT_AUDIT.md	320	2	B: historical documentation or compatibility explanation
README.md	7	1	B: historical documentation or compatibility explanation
README.md	229	2	B: historical documentation or compatibility explanation
README.md	240	1	B: historical documentation or compatibility explanation
README_RU.md	7	1	B: historical documentation or compatibility explanation
README_RU.md	229	2	B: historical documentation or compatibility explanation
